ship_id	ship_name	faction	image
GEONOSIANSTARFIGHTER2	Geonosian Soldier's Starfighter	Separatist	https://game-assets.swgoh.gg/textures/tex.charui_geonosis_fighter_soldier.png
GEONOSIANSTARFIGHTER3	Geonosian Spy's Starfighter	Separatist	https://game-assets.swgoh.gg/textures/tex.charui_geonosis_fighter_spy.png
GHOST	Ghost	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_ghost.png
MILLENNIUMFALCON	Han's Millennium Falcon	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_mfalcon.png
CAPITALMONCALAMARICRUISER	Home One	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_moncalamarilibertycruiser.png
HOUNDSTOOTH	Hound's Tooth	Bounty Hunter	https://game-assets.swgoh.gg/textures/tex.charui_houndstooth.png
HYENABOMBER	Hyena Bomber	Separatist	https://game-assets.swgoh.gg/textures/tex.charui_hyenabomber.png
IG2000	IG-2000	Bounty Hunter	https://game-assets.swgoh.gg/textures/tex.charui_ig2000.png
TIEBOMBERIMPERIAL	Imperial TIE Bomber	Empire	https://game-assets.swgoh.gg/textures/tex.charui_tiebomber.png
TIEFIGHTERIMPERIAL	Imperial TIE Fighter	Empire	https://game-assets.swgoh.gg/textures/tex.charui_tiefighter.png
JEDISTARFIGHTERCONSULAR	Jedi Consular's Starfighter	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_jedi_fighter.png
COMMANDSHUTTLE	Kylo Ren's Command Shuttle	First Order	https://game-assets.swgoh.gg/textures/tex.charui_upsilon_shuttle_kylo.png
MILLENNIUMFALCONPRISTINE	Lando's Millennium Falcon	Any	https://game-assets.swgoh.gg/textures/tex.charui_mil_fal_pristine.png
CAPITALLEVIATHAN	Leviathan	Sith	https://game-assets.swgoh.gg/textures/tex.charui_leviathan.png
MG100STARFORTRESSSF17	MG-100 StarFortress SF-17	Resistance	https://game-assets.swgoh.gg/textures/tex.charui_mg100.png
CAPITALMALEVOLENCE	Malevolence	Separatist	https://game-assets.swgoh.gg/textures/tex.charui_malevolence.png
MARAUDER	Marauder	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_marauder.png
SITHSUPREMACYCLASS	Mark VI Interceptor	Sith	https://game-assets.swgoh.gg/textures/tex.charui_sithsupremacyclass.png
CAPITALNEGOTIATOR	Negotiator	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_negotiator.png
OUTRIDER	Outrider	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_outrider.png
PHANTOM2	Phantom II	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_phantom2.png
BLADEOFDORIN	Plo Koon's Jedi Starfighter	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_jedi_fighter_bladeofdorin.png
XWINGBLACKONE	Poe Dameron's X-wing	Resistance	https://game-assets.swgoh.gg/textures/tex.charui_xwing_blackone.png
CAPITALPROFUNDITY	Profundity	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_profundity.png
PUNISHINGONE	Punishing One	Bounty Hunter	https://game-assets.swgoh.gg/textures/tex.charui_punishingone.png
CAPITALRADDUS	Raddus	Resistance	https://game-assets.swgoh.gg/textures/tex.charui_raddus.png
RAVENSCLAW	Raven's Claw	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_ravensclaw.png
RAZORCREST	Razor Crest	Bounty Hunter	https://game-assets.swgoh.gg/textures/tex.charui_razorcrest.png
YWINGREBEL	Rebel Y-wing	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_ywing.png
XWINGRESISTANCE	Resistance X-wing	Resistance	https://game-assets.swgoh.gg/textures/tex.charui_xwing_resistance.png
ARC170REX	Rex's ARC-170	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_arc170_02.png
MILLENNIUMFALCONEP7	Rey's Millennium Falcon	Resistance	https://game-assets.swgoh.gg/textures/tex.charui_mfalcon_ep7.png
SITHINFILTRATOR	Scimitar	Sith	https://game-assets.swgoh.gg/textures/tex.charui_sithinfiltrator.png
SCYTHE	Scythe	Empire	https://game-assets.swgoh.gg/textures/tex.charui_scythe.png
SITHFIGHTER	Sith Fighter	Sith	https://game-assets.swgoh.gg/textures/tex.charui_sithfighter.png
SLAVE1	Slave I	Bounty Hunter	https://game-assets.swgoh.gg/textures/tex.charui_slave1.png
GEONOSIANSTARFIGHTER1	Sun Fac's Geonosian Starfighter	Separatist	https://game-assets.swgoh.gg/textures/tex.charui_geonosis_fighter_sunfac.png
TIEADVANCED	TIE Advanced x1	Empire	https://game-assets.swgoh.gg/textures/tex.charui_tieadvanced.png
TIEADVANCED	TIE Advanced x1	Sith	https://game-assets.swgoh.gg/textures/tex.charui_tieadvanced.png
TIEDAGGER	TIE Dagger	First Order	https://game-assets.swgoh.gg/textures/tex.charui_tiedagger.png
TIEDAGGER	TIE Dagger	Sith	https://game-assets.swgoh.gg/textures/tex.charui_tiedagger.png
TIEDEFENDER	TIE Defender	Empire	https://game-assets.swgoh.gg/textures/tex.charui_tiedefender.png
FIRSTORDERTIEECHELON	TIE Echelon	First Order	https://game-assets.swgoh.gg/textures/tex.charui_firstordertieechelon.png
TIEREAPER	TIE Reaper	Empire	https://game-assets.swgoh.gg/textures/tex.charui_tiereaper.png
TIESILENCER	TIE Silencer	First Order	https://game-assets.swgoh.gg/textures/tex.charui_tie_silencer.png
TIEINTERCEPTOR	TIE/IN Interceptor Prototype	Empire	https://game-assets.swgoh.gg/textures/tex.charui_tie_interceptor_prototype.png
UMBARANSTARFIGHTER	Umbaran Starfighter	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_umbaran_star_fighter.png
VULTUREDROID	Vulture Droid	Separatist	https://game-assets.swgoh.gg/textures/tex.charui_vulturedroid.png
XWINGRED2	Wedge Antilles's X-wing	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_xwing_red2.png
XANADUBLOOD	Xanadu Blood	Bounty Hunter	https://game-assets.swgoh.gg/textures/tex.charui_xanadublood.png
ROGUEONESHIP	Rogue One	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_rogueoneship.png
BWINGREBEL	Rebel B-Wing	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_bwingrebel.png
